Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As2Se3,2600,mcl,mP20,20,1.35,2.73,12.28,1.09,3.87,3.31,3.60,4.72,2.44,1.42,2.21,3.69
As2Te3,18208,mclc(1),mS20,10,0.44,1.51,0.11,0.28,2.84,0.91,1.37,6.25,3.09,1.90,2.19,5.16
As2Zn1,2021,mcl,mP24,24,0.27,1.28,0.18,1.07,0.46,0.21,0.44,0.72,2.64,0.62,1.48,5.81
As2Zn3,44091,tet,tP40,40,0.13,1.09,0.12,1.00,0.25,0.24,0.24,0.26,7.31,7.21,7.21,7.52
As3Ba3In1,402338,orc,oP28,28,0.52,1.62,1.00,1.44,2.76,0.34,0.92,7.02,2.49,0.49,3.15,3.84
As3Ba3Nb1O1,408853,orc,oP32,32,1.10,2.39,8.68,6.30,7.22,5.26,7.72,8.68,1.98,0.64,2.22,3.09
As3Ba3O1Ta1,280155,orc,oP32,32,1.10,2.39,0.56,3.99,5.23,2.95,6.07,6.66,2.23,1.75,2.41,2.53
As3Br1Cd2,100815,mclc(3),mS24,12,0.79,1.98,0.32,0.49,0.65,0.35,0.77,0.83,0.71,0.46,0.77,0.91
As3Br1Cd2,75170,mclc(3),mS24,12,0.80,1.99,0.32,0.50,0.68,0.60,0.61,0.84,1.28,0.90,1.45,1.49
As3Br1Hg2,75169,mclc(3),mS24,12,0.90,2.12,0.22,0.67,1.47,1.29,1.41,1.71,2.70,1.49,3.00,3.62
As3Ca1,193,tri(1b),aP8,8,0.46,1.54,0.64,0.24,0.30,0.21,0.25,0.45,0.35,0.26,0.27,0.54
As3Ca3Ga1,60126,orc,oP28,28,0.37,1.41,0.68,0.86,1.93,0.23,1.36,4.21,1.65,1.11,1.18,2.67
As3Cd2I1,40449,mclc(3),mS24,12,0.78,1.96,0.26,0.46,0.69,0.34,0.77,0.97,2.26,1.60,2.15,3.01
As3Cd2I1,8216,mclc(3),mS24,12,0.78,1.97,0.26,0.46,1.08,0.98,1.00,1.26,2.19,1.50,2.16,2.90
As3F6Sb1Se4,24413,mcl,mP28,28,1.89,3.46,5.85,1.43,5.19,3.53,4.30,7.73,2.66,0.63,1.55,5.78
As3H2Na1O9,65011,tri(1b),aP30,30,2.62,4.45,0.54,85.27,2.22,0.79,2.93,2.94,7.92,6.26,7.55,9.94
As3H5O10,14327,tri(1b),aP18,18,3.02,4.98,0.60,12.92,1.62,1.18,1.66,2.01,6.26,1.84,2.12,14.82
As3Hf1Na5,66026,mcl,mP36,36,0.71,1.88,0.34,2.94,1.69,1.04,1.91,2.11,5.67,1.09,1.42,14.50
As3Na5Sn1,656058,tri(1b),aP36,36,0.33,1.36,0.70,1.44,3.13,1.70,2.77,4.90,4.96,3.13,4.17,7.59
As3O1Sr3Ta1,409567,orc,oP32,32,1.32,2.69,0.76,2.09,4.19,1.75,2.42,8.40,3.35,0.57,4.65,4.83
As4Ba3Si2,41183,mclc(3),mS36,18,0.81,2.01,0.58,0.95,0.83,0.48,0.99,1.03,6.39,3.44,6.15,9.57
As4Ba3Sn2,30702,mcl,mP36,36,0.75,1.93,3.42,1.84,8.52,1.85,11.14,12.57,7.09,1.64,5.81,13.82
As4Ca3Ge2,16455,mcl,mP36,36,0.61,1.74,4.55,0.48,4.99,1.36,4.69,8.92,1.61,1.17,1.34,2.31
As4Ca3In2,61336,orc,oP18,18,0.21,1.20,0.09,0.42,0.15,0.08,0.12,0.24,0.90,0.70,0.77,1.24
As4Ca3Si2,16456,mcl,mP36,36,0.83,2.03,0.79,0.67,4.77,2.13,4.73,7.46,1.94,1.62,1.98,2.23
As4Cd2Ge1,42132,orc,oP28,28,0.08,1.02,0.06,0.68,0.52,0.39,0.46,0.71,2.37,0.90,1.90,4.31
As4Cs4Se8,171373,mcl,mP32,32,1.30,2.66,1.95,3.62,5.36,0.51,0.52,15.07,7.17,2.63,3.76,15.13
As4Ge1Te7,41107,hex,hP12,12,0.32,1.35,0.37,0.72,3.08,1.26,3.84,4.16,1.73,1.08,1.57,2.55
